{1: 1},
{2: 2},
{3: 4},
{4: 5},
{5: 0},
{6: 0},
{7: 0},
{8: 0},
{9: 0},
{10: 0},
{11: 0},
{12: 0},
{13: 18},
{14: 9},
{15: 10},
{16: 11},
{17: 12},
{18: 13},
{19: 14},
{20: 15},
{21: 16},
{22: 17},
{23: 38},
{24: 39},
{25: 40},
{26: 46},
{27: 47},
{28: 48},
{29: 72},
{30: 121},
{31: 122},
{32: 123},
{33: 124},
{34: 63},
{35: 64},
{36: 0},
{37: 0},
{38: 0},
{39: 0},
{40: 0},
{41: 0},
{42: 0},
{43: 0},
{44: 139},
{45: 156},
{46: 0},
{47: 0},
{48: 0},
{49: 0},
{50: 0},
{51: 0},
{53: 26},
{54: 27},
{65: 28},
{66: 29},
{67: 31},
{68: 32},
{69: 62},
{70: 0},
{71: 0},
{74: 44},
{75: 49},
{76: 51},
{77: 52},
{78: 33},
{79: 53},
{80: 37},
{81: 0},
{83: 42},
{84: 43},
{85: 19},
{86: 20},
{93: 169},
{94: 8},
{95: 22},
{96: 23},
{97: 24},
{98: 34},
{103: 0},
{104: 87},
{106: 110},
{107: 111},
{108: 131},
{109: 132},
{110: 36},
{111: 0},
{121: 0},
{122: 0},
{123: 0},
{124: 0},
{125: 0},
{126: 0},
{127: 0},
{128: 0},
{129: 0},
{130: 0},
{131: 0},
{132: 0},
{133: 0},
{134: 0},
{135: 0},
{136: 0},
{137: 0},
{138: 0},
{139: 0},
{140: 0},
{141: 0},
{142: 0},
{143: 0},
{144: 0},
{145: 0},
{146: 0},
{147: 0},
{148: 0},
{149: 0},
{150: 0},
{151: 0},
{152: 0},
{153: 0},
{154: 0},
{155: 0},
{156: 0},
{157: 0},
{158: 0},
{159: 0},
{160: 0},
{161: 0},
{162: 0},
{163: 0},
{164: 0},
{165: 0},
{166: 0},
{167: 0},
{168: 0},
{169: 0},
{170: 0},
{171: 0},
{172: 0},
{173: 0},
{174: 0},
{175: 0},
{179: 3},
{180: 0},
{181: 0},
{182: 0},
{183: 73},
{184: 0},
{185: 0},
{186: 0},
{187: 82},
{188: 0},
{189: 91},
{190: 94},
{191: 0},
{192: 0},
{193: 0},
{194: 106},
{195: 112},
{196: 119},
{197: 126},
{198: 140},
{199: 143},
{200: 146},
{201: 151},
{202: 163},
{203: 76},
{204: 125},
{205: 117},
{206: 102},
{207: 98},
{208: 108},
{209: 95},
{210: 77},
{211: 81},
{212: 107},
{213: 113},
{214: 96},
{215: 138},
{216: 144},
{217: 0},
{218: 172},
{219: 0},
{220: 0},
{221: 0},
{222: 30},
{223: 35},
{224: 118},
{225: 105},
{254: 0},
{255: 68},
{256: 0},
{257: 0},
{258: 0},
{259: 0},
{260: 54},
{261: 55},
{262: 58},
{263: 0},
{264: 61},
{266: 0},
{268: 0},
{269: 0},
{270: 0},
{271: 133},
{272: 0},
{273: 0},
{274: 0},
{275: 0},
{276: 0},
{277: 0},
{278: 0},
{279: 0},
{280: 0},
{281: 0},
{282: 0},
{283: 0},
{284: 0},
{285: 0},
{286: 0},
{287: 0},
{288: 0},
{289: 191},
{290: 192},
{291: 193},
{292: 194},
{293: 196},
{294: 197},
{295: 198},
{296: 199},
{297: 200},
{298: 201},
{299: 202},
{300: 203},
{301: 204},
{302: 205},
{303: 206},
{304: 207},
{305: 208},
{306: 209},
{307: 210},
{308: 211},
{309: 212},
{310: 213},
{311: 214},
{312: 215},
{313: 216},
{314: 217},
{315: 218},
{316: 219},
{317: 221},
{318: 222},
{319: 223},
{320: 224},
{321: 225},
{322: 226},
{323: 227},
{324: 228},
{325: 229},
{326: 230},
{327: 231},
{328: 232},
{329: 233},
{330: 234},
{331: 235},
{332: 236},
{333: 237},
{334: 238},
{335: 239},
{336: 240},
{337: 241},
{338: 242},
{339: 243},
{340: 244},
{341: 245},
{342: 246},
{343: 247},
{344: 248},
{345: 249},
{346: 0},
{349: 0},
{350: 0},
{351: 0},
{352: 0},
{353: 0},
{354: 0},
{355: 127},
{356: 0},
{357: 0},
{358: 0},
{359: 0},
{360: 7},
{361: 0},
{362: 0},
{363: 0},
{364: 0},
{365: 0},
{366: 0},
{367: 0},
{368: 0},
{369: 0},
{370: 0},
{371: 0},
{372: 0},
{373: 0},
{374: 0}
